planet_id,element_id,constant,coefficient
1,1,48.3313,3.24587E-05
1,2,7.0047,0.00000005
1,3,29.1241,1.01444E-05
1,4,0.387098,0
1,5,0.205635,5.59E-10
1,6,168.6562,4.0923344368
2,1,76.6799,0.000024659
2,2,3.3946,2.75E-08
2,3,54.891,1.38374E-05
2,4,0.72333,0
2,5,0.006773,-1.302E-09
2,6,48.0052,1.6021302244
3,1,0,0
3,2,0,0
3,3,282.9404,4.70935E-05
3,4,1,0
3,5,0.016709,1.151E-09
3,6,356.047,0.9856002585
4,1,49.5574,2.11081E-05
4,2,1.8497,-1.78E-08
4,3,285.5016,2.92961E-05
4,4,1.523688,0
4,5,0.093405,2.516E-09
4,6,18.6021,0.5240207766
5,1,100.4542,2.76854E-05
5,2,1.303,-1.557E-07
5,3,273.8777,1.64505E-05
5,4,5.20256,0
5,5,0.048498,4.469E-09
5,6,19.895,0.0830853001
6,1,113.6634,0.000023898
6,2,2.4886,-1.081E-07
6,3,339.3939,2.97661E-05
6,4,9.55475,0
6,5,0.055546,-9.499E-09
6,6,316.967,0.0334442282
7,1,74.0005,0.000013978
7,2,0.7733,0.000000019
7,3,96.6612,0.000030565
7,4,19.18171,-1.55E-08
7,5,0.047318,7.45E-09
7,6,142.5905,0.011725806
8,1,131.7806,0.000030173
8,2,1.77,-0.000000255
8,3,272.8461,-0.000006027
8,4,30.05826,3.313E-08
8,5,0.008606,2.15E-09
8,6,260.2471,0.005995147
10,1,125.1228,-0.0529538083
10,2,5.1454,0
10,3,318.0634,0.1643573223
10,4,60.266,0
10,5,0.0549,0
10,6,115.3654,13.0649929509
